ratio,variables,gens II,gens I1,gens I2,CoCoALib,BDD,M2
8.5012,243,10808,249,369,0.192613,0.001066,0.123447
16.3885,270,2409,210,188,0.058502,0.000112,0.020951
10.8583,297,3810,197,210,0.067588,0.000232,0.027524
6.96117,324,7957,290,191,0.133102,0.000366,0.061217
13.7962,351,1099,114,133,0.019671,5.5e-05,0.006351
4.81406,378,11025,275,193,0.142489,0.00058,0.09169
5.93821,140,19956,399,297,0.412341,0.000646,0.196789
8.65689,168,5456,144,328,0.068338,0.000294,0.045672
13.2761,196,6606,282,311,0.140635,0.000476,0.065655
15.8486,224,3541,184,305,0.077058,0.000234,0.03585
9.29538,252,4848,262,172,0.074025,0.000254,0.04894
14.819,280,1923,177,161,0.040695,0.000151,0.015198
9.6538,308,6918,361,185,0.144645,0.000487,0.068049
11.9276,336,2985,172,207,0.058867,0.00018,0.024703
9.50201,364,5462,300,173,0.110953,0.000182,0.042659
9.12214,392,4896,163,274,0.094278,0.000205,0.045598
9.9421,145,4888,167,291,0.060114,0.000252,0.041459
7.30389,174,11705,319,268,0.205056,0.000693,0.105282
12.7026,203,5050,203,316,0.100547,0.00019,0.05575
13.4041,232,3954,424,125,0.076627,0.000171,0.025167
8.80593,261,10388,252,363,0.241168,0.000649,0.128657
15.6577,290,1332,132,158,0.030029,0.000117,0.011167
9.50321,319,2182,144,144,0.030003,9e-05,0.011617
15.2003,348,1548,181,130,0.033997,0.000129,0.008344
10.7372,377,9525,272,376,0.257331,0.000529,0.109333
3.64528,406,22429,511,160,0.41366,0.000201,0.18428
4.14545,50,220,48,19,0.000352,9e-06,0.000479
7.2381,60,63,24,19,0.00017,5e-06,0.000167
5.61224,70,196,20,55,0.00059,9e-06,0.000594
4.14159,80,113,26,18,0.000266,7e-06,0.000248
5.37313,90,67,18,20,0.000211,7e-06,0.000193
4.97297,100,111,24,23,0.000321,1.2e-05,0.000331
4.19588,110,194,22,37,0.000508,1.1e-05,0.000449
2.2549,120,102,10,23,0.00016,4e-06,0.000249
4.16185,130,173,40,18,0.00048,1.1e-05,0.000377
7.46341,140,123,34,27,0.000591,1e-05,0.000348
5.44,55,150,17,48,0.000296,6e-06,0.000392
5.57798,66,109,38,16,0.00032,6e-06,0.000257
4.0155,77,387,42,37,0.000941,1.8e-05,0.000959
5.8209,88,67,26,15,0.000212,1.1e-05,0.000163
5.01471,99,136,22,31,0.000414,7e-06,0.000361
4.97196,110,107,28,19,0.000319,8e-06,0.000239
8.83607,121,183,49,33,0.001033,1.2e-05,0.00047
4.88136,132,177,18,48,0.000561,1.1e-05,0.000391
3.19266,143,1090,60,58,0.003314,3.6e-05,0.003943
3.51515,154,231,29,28,0.000589,1e-05,0.000544
5.21008,60,119,31,20,0.000234,7e-06,0.000278
5.08197,72,122,20,31,0.000336,1.5e-05,0.000335
8.33333,84,318,50,53,0.001566,2.3e-05,0.000998
5.10886,96,643,73,45,0.002279,3.3e-05,0.001807
6.75,108,152,27,38,0.000632,9e-06,0.000408
7.5503,120,169,44,29,0.000783,1e-05,0.000419
4.5125,132,160,38,19,0.000473,1.1e-05,0.000381
5.14045,144,534,61,45,0.00211,2e-05,0.001437
4.33548,156,310,56,24,0.001016,1e-05,0.000758
3.46045,168,1631,83,68,0.00582,6.5e-05,0.006496
9.89434,65,265,69,38,0.001481,1.4e-05,0.000707
7.04861,78,144,35,29,0.000555,1e-05,0.000338
3.42724,91,646,41,54,0.001596,2.9e-05,0.001638
2.99302,104,860,39,66,0.001945,3e-05,0.002433
5.24265,117,136,23,31,0.000434,1e-05,0.000337
7.03279,130,244,33,52,0.001118,1.1e-05,0.000649
10.3058,143,121,43,29,0.000831,1.2e-05,0.000313
3.7375,156,240,39,23,0.000684,2.9e-05,0.00056
6.62391,169,686,71,64,0.003939,3.5e-05,0.00264
3.65236,182,1142,97,43,0.004354,2.6e-05,0.0038
4.54348,70,138,33,19,0.000348,9e-06,0.000261
7.64228,84,369,47,60,0.001692,1.9e-05,0.001302
6.16051,98,785,78,62,0.003361,4.3e-05,0.002691
7.19914,112,467,82,41,0.002341,2e-05,0.001441
3.84232,126,1002,50,77,0.003101,4e-05,0.003722
9.4198,140,293,60,46,0.001932,2.1e-05,0.001071
5.2316,154,557,47,62,0.002367,3.2e-05,0.00178
7.58333,168,288,42,52,0.001677,1.7e-05,0.000831
8.42105,182,209,55,32,0.001326,1.3e-05,0.000547
6.75074,196,674,65,70,0.004134,3.4e-05,0.002553
7.30476,75,210,59,26,0.000878,1.1e-05,0.000434
6.34567,90,946,87,69,0.004943,2.9e-05,0.00318
5.54683,105,331,51,36,0.001221,1.1e-05,0.000807
7.2446,120,695,53,95,0.003629,4.5e-05,0.002375
4.93267,135,505,53,47,0.001809,2.3e-05,0.001256
5.175,150,800,69,60,0.003387,3.4e-05,0.002966
6.6088,165,409,53,51,0.002107,2e-05,0.001427
6.5625,180,1088,68,105,0.00683,3.1e-05,0.004754
4.70968,195,589,38,73,0.002546,2.5e-05,0.002105
5.66667,210,324,68,27,0.001618,1.3e-05,0.000867
3.71499,80,1214,41,110,0.003491,2.7e-05,0.003907
6.63971,96,272,42,43,0.001093,1.5e-05,0.000586
9.76744,112,215,35,60,0.0013,2e-05,0.000538
7.07906,128,1442,116,88,0.009047,5.5e-05,0.0066
6.041,144,439,78,34,0.001957,1.8e-05,0.001239
7.30435,160,644,96,49,0.003782,3.2e-05,0.001928
5.07824,176,703,51,70,0.003003,3.6e-05,0.00275
